rule_id	domain	canonical_en	canonical_mm	fixture_owner	status	compatibility
SPEC-001	source-execution	docs/LANGUAGE_SPEC_EN.md#1. Source and execution model	docs/LANGUAGE_SPEC_MM.md#၁။ Source နှင့် execution model	native/src/ast.rs#parse_program	implemented	normative
SPEC-002	expressions-precedence	docs/LANGUAGE_SPEC_EN.md#2. Expressions and precedence	docs/LANGUAGE_SPEC_MM.md#၂။ Expression နှင့် precedence	native/src/ast.rs#parse_expression	implemented	normative
SPEC-003	values-typing	docs/LANGUAGE_SPEC_EN.md#3. Values and typing	docs/LANGUAGE_SPEC_MM.md#၃။ Values နှင့် typing	native/tests/core.rs#typecheck_p0_conformance_matrix_tc001_to_tc005	implemented	normative
SPEC-004	functions-closures	docs/LANGUAGE_SPEC_EN.md#4. Functions, calls, and closures	docs/LANGUAGE_SPEC_MM.md#၄။ Functions၊ calls နှင့် closures	native/src/evaluator.rs#call_function	implemented	normative
SPEC-028	callable-values	docs/LANGUAGE_SPEC_EN.md#4. Functions, calls, and closures	docs/LANGUAGE_SPEC_MM.md#၄။ Functions၊ calls နှင့် closures	native/src/evaluator.rs#callable_values_support_assignment_arguments_returns_and_serialization	implemented	normative
SPEC-005	control-flow-modules	docs/LANGUAGE_SPEC_EN.md#5. Control flow and modules	docs/LANGUAGE_SPEC_MM.md#၅။ Control flow နှင့် modules	native/tests/core.rs#validates_explicit_module_manifest_entries	implemented	normative
SPEC-006	memory-ownership	docs/LANGUAGE_SPEC_EN.md#6. Runtime ownership and asynchronous boundaries	docs/LANGUAGE_SPEC_MM.md#၆။ Runtime ownership နှင့် asynchronous boundary	native/src/value.rs#memory_limit_validation_is_cycle_safe_and_bounded	implemented	normative
SPEC-007	async-deterministic	docs/LANGUAGE_SPEC_EN.md#6. Runtime ownership and asynchronous boundaries	docs/LANGUAGE_SPEC_MM.md#၆။ Runtime ownership နှင့် asynchronous boundary	native/src/async_runtime.rs#delay_ticks_is_deterministic_and_non_blocking	implemented	normative
SPEC-008	async-production-boundary	docs/LANGUAGE_SPEC_EN.md#6. Runtime ownership and asynchronous boundaries	docs/LANGUAGE_SPEC_MM.md#၆။ Runtime ownership နှင့် asynchronous boundary	native/src/async_runtime.rs#threaded_runtime_rejects_invalid_limits_before_starting_workers	implemented	normative
SPEC-009	diagnostics	docs/LANGUAGE_SPEC_EN.md#7. Diagnostics and compatibility	docs/LANGUAGE_SPEC_MM.md#၇။ Diagnostics နှင့် compatibility	native/src/lsp.rs#lsp_diagnostics_match_cli_type_error_contract	implemented	normative
SPEC-010	registry-security	docs/LANGUAGE_SPEC_EN.md#8. Conformance ownership	docs/LANGUAGE_SPEC_MM.md#၈။ Conformance ownership	native/src/registry.rs#security_property_signed_index_mutations_never_panic_or_accept_tampering	implemented	normative
SPEC-011	lockfile	docs/LANGUAGE_SPEC_EN.md#8. Conformance ownership	docs/LANGUAGE_SPEC_MM.md#၈။ Conformance ownership	native/src/project.rs#malformed_lockfile_corpus_is_deterministic_and_panic_free	implemented	normative
SPEC-012	json-standard-library	docs/LANGUAGE_SPEC_EN.md#7. Diagnostics and compatibility	docs/LANGUAGE_SPEC_MM.md#၇။ Diagnostics နှင့် compatibility	native/src/evaluator.rs#json_security_corpus_is_deterministic_and_panic_free	implemented	normative
SPEC-013	filesystem-limits	docs/LANGUAGE_SPEC_EN.md#6. Runtime ownership and asynchronous boundaries	docs/LANGUAGE_SPEC_MM.md#၆။ Runtime ownership နှင့် asynchronous boundary	native/src/evaluator.rs#filesystem_metadata_and_atomic_write_are_deterministic	implemented	normative
SPEC-014	compatibility-policy	docs/LANGUAGE_SPEC_EN.md#7. Diagnostics and compatibility	docs/LANGUAGE_SPEC_MM.md#၇။ Diagnostics နှင့် compatibility	conformance/p0-01/matrix.tsv#P001-NATIVE-LET	implemented	compatibility
SPEC-015	ci-gates	docs/LANGUAGE_SPEC_EN.md#8. Conformance ownership	docs/LANGUAGE_SPEC_MM.md#၈။ Conformance ownership	scripts/test_p001_parity.sh	implemented	normative
SPEC-016	diagnostic-fields	docs/LANGUAGE_SPEC_EN.md#7. Diagnostics and compatibility	docs/LANGUAGE_SPEC_MM.md#၇။ Diagnostics နှင့် compatibility	native/src/diagnostics.rs#json_fields	implemented	normative
SPEC-017	evaluator-propagation	docs/LANGUAGE_SPEC_EN.md#3. Values and typing	docs/LANGUAGE_SPEC_MM.md#၃။ Values နှင့် typing	native/src/evaluator.rs#evaluate_with_propagation	implemented	normative
SPEC-018	memory-stats	docs/LANGUAGE_SPEC_EN.md#6. Runtime ownership and asynchronous boundaries	docs/LANGUAGE_SPEC_MM.md#၆။ Runtime ownership နှင့် asynchronous boundary	native/src/value.rs#memory_stats_value	implemented	normative
SPEC-019	async-capability	docs/LANGUAGE_SPEC_EN.md#6. Runtime ownership and asynchronous boundaries	docs/LANGUAGE_SPEC_MM.md#၆။ Runtime ownership နှင့် asynchronous boundary	native/src/evaluator.rs#async_capabilities_value	implemented	normative
SPEC-020	async-budget	docs/LANGUAGE_SPEC_EN.md#6. Runtime ownership and asynchronous boundaries	docs/LANGUAGE_SPEC_MM.md#၆။ Runtime ownership နှင့် asynchronous boundary	native/src/async_runtime.rs#run_with_budget	implemented	normative
SPEC-021	package-validation	docs/LANGUAGE_SPEC_EN.md#5. Control flow and modules	docs/LANGUAGE_SPEC_MM.md#၅။ Control flow နှင့် modules	native/src/project.rs#validate_project	implemented	normative
SPEC-022	lockfile-generation	docs/LANGUAGE_SPEC_EN.md#5. Control flow and modules	docs/LANGUAGE_SPEC_MM.md#၅။ Control flow နှင့် modules	native/src/project.rs#write_lockfile	implemented	normative
SPEC-023	registry-index	docs/LANGUAGE_SPEC_EN.md#8. Conformance ownership	docs/LANGUAGE_SPEC_MM.md#၈။ Conformance ownership	native/src/registry.rs#parse_index_bytes	implemented	normative
SPEC-024	stdlib-catalog	docs/LANGUAGE_SPEC_EN.md#8. Conformance ownership	docs/LANGUAGE_SPEC_MM.md#၈။ Conformance ownership	native/src/main.rs#public_builtin_catalog_is_unique_and_domain_grouped	implemented	normative
SPEC-025	cli-project-json	docs/LANGUAGE_SPEC_EN.md#7. Diagnostics and compatibility	docs/LANGUAGE_SPEC_MM.md#၇။ Diagnostics နှင့် compatibility	native/src/main.rs#print_project_json	implemented	normative
SPEC-026	compatibility-template	docs/LANGUAGE_SPEC_EN.md#7. Diagnostics and compatibility	docs/LANGUAGE_SPEC_MM.md#၇။ Diagnostics နှင့် compatibility	docs/COMPATIBILITY_CHANGE_TEMPLATE_EN.md	implemented	compatibility
SPEC-027	ownership-validator	docs/LANGUAGE_SPEC_EN.md#8. Conformance ownership	docs/LANGUAGE_SPEC_MM.md#၈။ Conformance ownership	scripts/validate_spec_ownership.sh	implemented	normative
SPEC-029	lsp-document-sync	docs/ASYNC_LSP_EN.md#LSP Server	docs/ASYNC_LSP_MM.md#LSP Server	native/src/lsp.rs#contentChanges	implemented	normative
SPEC-030	lsp-interoperability	docs/ASYNC_LSP_EN.md#LSP Server	docs/ASYNC_LSP_MM.md#LSP Server	native/src/lsp.rs#negotiate_position_encoding	implemented	normative
SPEC-031	lsp-scope-rename	docs/ASYNC_LSP_EN.md#LSP Server	docs/ASYNC_LSP_MM.md#LSP Server	native/src/lsp.rs#rename_response	implemented	normative
SPEC-032	stdlib-determinism	docs/STDLIB_POLICY_EN.md#Determinism taxonomy	docs/STDLIB_POLICY_MM.md#Determinism taxonomy	native/src/stdlib_catalog.rs#determinism_class_labels_and_legacy_compatibility_are_stable	implemented	normative
SPEC-033	memory-budget	docs/MEMORY_BUDGET_OBJECT_STORE_EN.md#Default limits	docs/MEMORY_BUDGET_OBJECT_STORE_MM.md#Default limits	native/src/runtime_state.rs#memory_budget_and_object_store_are_isolated_and_reset	implemented	normative
SPEC-034	registry-transport	docs/LANGUAGE_SPEC_EN.md#8. Conformance ownership	docs/LANGUAGE_SPEC_MM.md#၈။ Conformance ownership	native/src/registry.rs#registry_client_accepts_chunked_response_body	implemented	normative
SPEC-035	benchmark-provenance	docs/BENCHMARK_HARNESS_EN.md#Verification	docs/BENCHMARK_HARNESS_MM.md#Verification	scripts/test_benchmark_provenance.sh#schema_version	implemented	normative
SPEC-036	release-version	docs/RELEASE_VERSION_POLICY_EN.md#Validation and evidence	docs/RELEASE_VERSION_POLICY_MM.md#Validation နှင့် evidence	scripts/validate_release_version.sh#REPORT=	implemented	normative
SPEC-037	runtime-borrow-equality	docs/MEMORY_MODEL_EN.md#Ownership contract	docs/MEMORY_MODEL_MM.md#Ownership contract	native/src/value.rs#value_equality_is_cycle_safe_and_borrow_checked	implemented	normative
